sku,name,description,image,type,price,shipping,manufacturer,class_id,sub_class1_id,num_classes
43900,Duracell - AAA Batteries (4-Pack),Compatible with select electronic devices; AAA size; DURALOCK Power Preserve technology; 4-pack,http://img.bbystatic.com/BestBuy_US/images/products/4390/43900_sa.jpg,HardGood,5.49,5.49,Duracell,pcmcat312300050015,pcmcat248700050021,2
48530,Duracell - AA 1.5V CopperTop Batteries (4-Pack),"Long-lasting energy; DURALOCK Power Preserve technology; for toys, clocks, radios, games, remotes, PDAs and more",http://img.bbystatic.com/BestBuy_US/images/products/4853/48530_sa.jpg,HardGood,5.49,5.49,Duracell,pcmcat312300050015,pcmcat248700050021,2
127687,Duracell - AA Batteries (8-Pack),Compatible with select electronic devices; AA size; DURALOCK Power Preserve technology; 8-pack,http://img.bbystatic.com/BestBuy_US/images/products/1276/127687_sa.jpg,HardGood,7.49,5.49,Duracell,pcmcat312300050015,pcmcat248700050021,2
150115,Energizer - MAX Batteries AA (4-Pack),4-pack AA alkaline batteries; battery tester included,http://img.bbystatic.com/BestBuy_US/images/products/1501/150115_sa.jpg,HardGood,4.99,5.49,Energizer,pcmcat312300050015,pcmcat248700050021,2
185230,Duracell - C Batteries (4-Pack),Compatible with select electronic devices; C size; DURALOCK Power Preserve technology; 4-pack,http://img.bbystatic.com/BestBuy_US/images/products/1852/185230_sa.jpg,HardGood,8.99,5.49,Duracell,pcmcat312300050015,pcmcat248700050021,2
185267,Duracell - D Batteries (4-Pack),Compatible with select electronic devices; D size; DURALOCK Power Preserve technology; 4-pack,http://img.bbystatic.com/BestBuy_US/images/products/1852/185267_sa.jpg,HardGood,9.99,5.99,Duracell,pcmcat312300050015,pcmcat248700050021,2
312290,Duracell - 9V Batteries (2-Pack),Compatible with select electronic devices; alkaline chemistry; 9V size; DURALOCK Power Preserve technology; 2-pack,http://img.bbystatic.com/BestBuy_US/images/products/3122/312290_sa.jpg,HardGood,7.99,5.49,Duracell,pcmcat312300050015,pcmcat248700050021,2
333179,Energizer - N Cell E90 Batteries (2-Pack),Alkaline batteries; 1.5V,http://img.bbystatic.com/BestBuy_US/images/products/3331/333179_sa.jpg,HardGood,5.99,5.49,Energizer,pcmcat312300050015,pcmcat248700050021,2
346575,"Metra - Radio Installation Dash Kit for Most 1989-2000 Ford, Lincoln & Mercury Vehicles - Black","From our expanded online assortment; compatible with most 1989-2000 Ford, Lincoln and Mercury vehicles; snap-in TurboKit offers fast installation; spacer/trim ring; rear support bracket",http://img.bbystatic.com/BestBuy_US/images/products/3465/346575_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
346646,Metra - Radio Dash Multikit for Select GM Vehicles - Black,From our expanded online assortment; compatible with select GM vehicles; plastic material,http://img.bbystatic.com/BestBuy_US/images/products/3466/346646_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
347137,Metra - Wiring Harness for Select 1998-2008 Ford Vehicles - Multicolored,Compatible with select 1998-2008 Ford vehicles; connects an aftermarket radio to a vehicle's harness,http://img.bbystatic.com/BestBuy_US/images/products/9852/9852688_sa.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
347146,Metra - Turbo Wire Aftermarket Radio Wire Harness Adapter for Select Vehicles,Compatible with Honda and Acura vehicles; connects an aftermarket radio to your car's harness,http://img.bbystatic.com/BestBuy_US/images/products/3471/347146_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
347155,Metra - Wiring Harness for Most 1986-1998 Honda Acura Vehicles - Multicolored,Compatible with most 1986-1998 Honda Acura vehicles; connects an aftermarket radio to a vehicle's harness,http://img.bbystatic.com/BestBuy_US/images/products/3471/347155_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
347333,METRA - Antenna Cable Adapter - Black,Compatible with select 1988-2005 vehicles; adapts an aftermarket antenna to OEM radios; flat plug,http://img.bbystatic.com/BestBuy_US/images/products/3473/347333_sa.jpg,HardGood,13.99,0,METRA,abcat0300000,pcmcat165900050023,2
373642,Jensen - 3.6V NiCad Battery for 900MHz Phones,Rechargeable 3.6V 300 mAh NiCad battery for GE 2-9614 model cordless phones,http://img.bbystatic.com/BestBuy_US/images/products/3736/373642_rc.jpg,HardGood,19.99,5.49,Jensen,pcmcat312300050015,abcat0802000,2
478398,"Metra - Radio Installation Dash Kit for Select Ford, Mazda and Mercury Vehicles (Pair) - Black","From our expanded online assortment; compatible with select Ford, Mazda and Mercury vehicles; allows the installation of an aftermarket radio into the factory dash location; high-grade ABS plastic material",http://img.bbystatic.com/BestBuy_US/images/products/4783/478398_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
612732,"Metra - 1/4"" DIN Trim Ring for Most Vehicles",Compatible with most vehicles; designed for the installation of an aftermarket radio,http://img.bbystatic.com/BestBuy_US/images/products/6127/612732_sa.jpg,HardGood,10.99,0,Metra,abcat0300000,pcmcat165900050023,2
643600,Metra - Turbowire Radio Harness Adapter for Select Jeep Vehicles,Compatible with select Jeep vehicles; ABS and vinyl construction; colored-coded wires,http://img.bbystatic.com/BestBuy_US/images/products/6436/643600_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
643628,Metra - Speaker Connector for Select Volkswagen Vehicles,Compatible with select Volkswagen vehicles; connects a speaker to the vehicle's stereo; easy installation,http://img.bbystatic.com/BestBuy_US/images/products/6436/643628_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
643691,Metra - Speaker Connector for Select Mitsubishi and Chrysler Vehicles,From our expanded online assortment; compatible with 1987 - 1993 Mitsubishi and Chrysler vehicles; color-coded wires,http://img.bbystatic.com/BestBuy_US/images/products/6436/643691_rc.jpg,HardGood,19.99,0,Metra,abcat0300000,pcmcat165900050023,2
643717,Metra - Wiring Harness for Most 1990-2001 Mazda Vehicles - Multicolored,Compatible with most 1990-2001 Mazda vehicles; connects an aftermarket radio to a vehicle's harness,http://img.bbystatic.com/BestBuy_US/images/products/6437/643717_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
673890,Metra - Professional Installer Series TurboKit,"From our expanded online assortment; compatible with select Chevrolet, Geo and Suzuki vehicles; allows installation of an aftermarket radio; provision for a 1/4"" or 1/2"" DIN equalizer; mounts precisely to OEM radio mounting positions",http://img.bbystatic.com/BestBuy_US/images/products/9852/9852688_sa.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
677379,Metra - Wiring Harness for Most 1987 and Later Toyota Scion Vehicles - Multicolored,Compatible with most 1987 and later Toyota Scion vehicles; connects an aftermarket radio to a vehicle's harness,http://img.bbystatic.com/BestBuy_US/images/products/6773/677379_rc.jpg,HardGood,16.99,0,Metra,abcat0300000,pcmcat165900050023,2
